ML_79%_bo,
X,Y
0.9984 , 695.1711
0.9980 , 682.1458
0.9972 , 671.5328
0.9884 , 660.9237
0.9568 , 654.1850
0.9055 , 647.9382
0.8490 , 642.6588
0.7849 , 638.8303
0.7577 , 631.6070
0.7032 , 626.3266
0.6459 , 622.0124
0.5958 , 615.7650
0.5349 , 611.4526
0.4752 , 607.1396
0.4159 , 602.8263
0.3610 , 598.0285
0.3130 , 591.2978
0.2733 , 584.0805
0.2413 , 574.9299
0.2152 , 566.7412
0.1928 , 557.1035
0.1736 , 547.4643
0.1571 , 537.3412
0.1415 , 526.7354
0.1283 , 515.6460
0.1151 , 505.0390
0.1027 , 493.9492
0.0911 , 482.3766
0.0803 , 471.7684
0.0706 , 460.6773
0.0610 , 448.6212
0.0522 , 437.5297
0.0434 , 425.9557
0.0354 , 413.4165
0.0266 , 401.8425
0.0206 , 390.2672
0.0150 , 378.6917
0.0094 , 366.6337
0.0046 , 355.5403
0.0002 , 343.4817
-0.0030 , 331.4226
