ML_56%_bo,
X,Y
0.9986 , 406.1979
0.9986 , 397.9967
0.9982 , 391.2429
0.9677 , 386.9157
0.9144 , 384.5293
0.8447 , 383.1157
0.5643 , 377.4619
0.4962 , 377.0123
0.4301 , 374.1496
0.3672 , 373.2151
0.3083 , 371.7962
0.2526 , 368.9286
0.2037 , 365.0927
0.1637 , 361.7351
0.1324 , 356.4435
0.1064 , 351.1493
0.0867 , 345.3697
0.0703 , 340.0709
0.0579 , 333.3230
0.0471 , 327.5391
0.0371 , 319.8251
0.0287 , 313.0752
0.0219 , 306.3245
0.0163 , 299.0908
0.0115 , 291.3743
0.0062 , 284.1404
0.0038 , 276.9052
-0.0010 , 270.6360
-0.0034 , 262.9183
-0.0050 , 255.2003
-0.0074 , 248.9299
-0.0082 , 241.2115
