f1_1,
X,Y
0.0016 , 18.2133
0.0156 , 23.9404
0.0633 , 26.9850
0.1112 , 28.3047
0.1635 , 29.2656
0.2139 , 30.0716
0.2669 , 30.8038
0.3201 , 31.4022
0.3729 , 32.0455
0.4254 , 32.5835
0.4783 , 33.1607
0.5313 , 33.6700
0.5839 , 34.2710
0.6369 , 34.8057
0.6899 , 35.4294
0.7447 , 36.0595
0.7968 , 36.8654
0.8492 , 37.8601
0.9010 , 39.2117
0.9508 , 41.3167
0.9862 , 43.9245
0.9994 , 55.4091
0.9894 , 46.0444
0.1307 , 28.6620
0.0436 , 26.3413
0.0224 , 25.1428
0.0071 , 22.3490
0.0024 , 20.6731
-0.0012 , 16.1249
0.9682 , 42.6916
