SC,
X,Y
1.0000 , 55.5000
0.9894 , 44.9672
0.9776 , 43.5700
0.9735 , 42.7319
0.9482 , 41.0145
0.9223 , 39.8555
0.8975 , 39.1355
0.8740 , 38.4554
0.8486 , 37.8550
0.8186 , 37.3339
0.7986 , 36.8935
0.7485 , 36.1714
0.6991 , 35.6090
0.6490 , 35.0066
0.6007 , 34.4841
0.5495 , 33.8816
0.4994 , 33.3191
0.4499 , 32.9162
0.4005 , 32.3538
0.3498 , 31.8311
0.2992 , 31.2287
0.2527 , 30.6266
0.2002 , 29.9043
0.1802 , 29.7032
0.1620 , 29.2629
0.1408 , 28.8224
0.1219 , 28.6214
0.1007 , 28.2208
0.0913 , 28.0605
0.0807 , 27.7804
0.0683 , 27.1411
0.0318 , 25.8616
0.0135 , 24.5835
0.0065 , 23.1069
0.0018 , 21.6704
0.0012 , 20.1943
-0.0006 , 18.4787
-0.0012 , 16.8829
