AC-7,
X,Y
0.0200 , 309.4556
0.0400 , 342.8419
0.0600 , 364.1645
0.0800 , 379.6218
0.1000 , 389.7788
0.1200 , 398.1834
0.1400 , 405.1161
0.1600 , 410.7551
0.1800 , 416.7730
0.2000 , 421.0254
0.2200 , 425.8488
0.2400 , 430.1841
0.2600 , 433.1438
0.2800 , 436.3999
0.3000 , 439.4846
0.3200 , 442.5476
0.3400 , 445.3698
0.3600 , 447.8458
0.3800 , 450.8913
0.4000 , 453.3383
0.4200 , 455.2199
0.4400 , 457.4544
0.4600 , 459.3710
0.4800 , 461.6627
0.5000 , 463.6850
0.5200 , 465.2180
0.5400 , 467.6680
0.5600 , 469.6605
0.5800 , 470.8186
0.6000 , 471.9721
0.6200 , 472.6545
0.6400 , 474.4211
0.6600 , 476.1761
0.6800 , 478.3014
0.7000 , 479.9279
0.7200 , 481.2343
0.7400 , 482.4043
0.7600 , 483.5620
0.7800 , 484.9611
0.8000 , 485.0711
0.8200 , 486.4351
0.8400 , 488.3228
0.8600 , 489.4060
0.8800 , 490.4029
0.9000 , 490.9993
0.9200 , 491.8268
0.9400 , 493.1343
0.9600 , 494.1440
0.9800 , 496.3871
