NaOH(2.5_1),
X,Y
0.0767 , 30.6755
0.0569 , 23.1871
0.0955 , 37.4825
0.1045 , 40.2042
0.1154 , 42.9245
0.1352 , 47.0022
0.1550 , 50.3978
0.1739 , 53.7942
0.1937 , 56.5077
0.2473 , 63.2883
0.2949 , 68.0272
0.3593 , 74.1175
0.3970 , 76.8174
0.4536 , 80.8673
0.5002 , 83.5605
0.5547 , 86.2477
0.6063 , 88.9371
0.6410 , 90.2751
0.6965 , 92.2794
0.7402 , 94.2927
0.7679 , 94.2716
0.7927 , 94.9350
0.8136 , 95.6013
0.8374 , 96.9475
0.8542 , 98.2990
0.8711 , 98.9684
0.8840 , 98.9586
0.8988 , 99.6294
0.9107 , 99.6204
0.9207 , 99.6129
0.9326 , 100.2860
0.9425 , 100.2785
0.9554 , 101.6330
0.9683 , 100.9411
0.9762 , 100.9351
0.9881 , 101.6082
