AC-2,
X,Y
0.0463 , 341.6828
0.0295 , 287.0463
0.0117 , 168.1518
0.0751 , 394.1902
0.0949 , 417.7723
0.1058 , 429.5645
0.1148 , 437.0707
0.1336 , 455.2971
0.1535 , 468.1697
0.1744 , 482.1144
0.1902 , 493.9119
0.2469 , 519.6754
0.2926 , 540.0724
0.3562 , 560.4885
0.3949 , 572.3105
0.4535 , 588.4375
0.4993 , 598.1250
0.5529 , 608.8920
0.6056 , 616.4451
0.6424 , 625.0521
0.6960 , 633.6771
0.7398 , 640.1497
0.7686 , 644.4643
0.7934 , 647.7038
0.8153 , 650.9401
0.8362 , 655.2462
0.8560 , 657.4094
0.8700 , 659.5662
0.8849 , 660.6531
0.8968 , 663.8788
0.9127 , 664.9667
0.9296 , 668.1977
0.9425 , 669.2825
0.9574 , 670.3694
0.9713 , 671.4552
0.9872 , 674.6851
