KOH(4_1),
X,Y
0.1180 , 217.9514
0.1360 , 231.0608
0.1540 , 242.6089
0.1720 , 254.3975
0.1900 , 264.1944
0.2080 , 272.7339
0.2260 , 280.7712
0.2440 , 288.1175
0.2620 , 294.8181
0.2800 , 301.2781
0.2980 , 307.5296
0.3160 , 313.4040
0.3340 , 318.7980
0.3520 , 323.7002
0.3700 , 328.3274
0.3880 , 332.9184
0.4060 , 337.4561
0.4240 , 341.6556
0.4420 , 345.5597
0.4600 , 349.2283
0.4780 , 352.6769
0.4960 , 356.1337
0.5140 , 359.7479
0.5320 , 363.2076
0.5500 , 366.4557
0.5680 , 369.5915
0.5860 , 372.5565
0.6040 , 375.4154
0.6220 , 378.2272
0.6400 , 380.9210
0.6580 , 383.5270
0.6760 , 386.1357
0.6940 , 388.8020
0.7120 , 391.3039
0.7300 , 393.5221
0.7480 , 395.6301
0.7660 , 397.7198
0.7840 , 399.8845
0.8020 , 402.2688
0.8200 , 404.5383
0.8380 , 406.5379
0.8560 , 408.5210
0.8740 , 410.5722
0.8920 , 412.5790
0.9100 , 414.5463
0.9280 , 416.8433
0.9460 , 419.3319
0.9613 , 420.8645
0.9802 , 423.5787
0.1064 , 209.3705
0.0955 , 199.1469
0.0787 , 178.0137
0.0598 , 150.0607
