AC-9,
X,Y
0.0089 , 33.2090
0.0278 , 39.6549
0.0457 , 41.8160
0.0576 , 42.8997
0.0755 , 45.0608
0.0954 , 45.0821
0.1053 , 46.1637
0.1153 , 46.1743
0.1341 , 46.1945
0.1530 , 49.4276
0.1739 , 50.5209
0.1908 , 49.4681
0.2445 , 51.6674
0.2942 , 51.7207
0.3578 , 53.9307
0.3975 , 55.0442
0.4532 , 57.2457
0.4989 , 55.1528
0.5546 , 56.2834
0.6063 , 57.4097
0.6421 , 57.4480
0.6948 , 58.5754
0.7395 , 58.6233
0.7673 , 58.6531
0.7932 , 59.7517
0.8140 , 59.7741
0.8359 , 59.7975
0.8548 , 60.8887
0.8727 , 60.9078
0.8856 , 58.7798
0.8985 , 60.9355
0.9115 , 60.9493
0.9224 , 58.8192
0.9333 , 59.9018
0.9423 , 59.9114
0.9512 , 60.9919
0.9622 , 61.0036
0.9731 , 61.0154
0.9890 , 61.0324
