AC-7,
X,Y
0.0076 , 279.5262
0.0264 , 333.0939
0.0463 , 354.5342
0.0562 , 363.1124
0.0761 , 375.9851
0.0949 , 385.6439
0.1138 , 396.3736
0.1327 , 402.8195
0.1526 , 409.2665
0.1734 , 414.6436
0.1903 , 420.0164
0.2440 , 430.7834
0.2927 , 439.4032
0.3563 , 448.0389
0.3961 , 453.4362
0.4527 , 459.9226
0.4984 , 464.2553
0.5541 , 469.6697
0.6058 , 474.0089
0.6416 , 476.1891
0.6952 , 480.5304
0.7370 , 482.7170
0.7678 , 484.8919
0.7926 , 485.9894
0.8135 , 487.0827
0.8354 , 488.1771
0.8533 , 489.2672
0.8712 , 490.3573
0.8841 , 490.3712
0.8970 , 491.4560
0.9079 , 491.4677
0.9079 , 491.4677
0.9199 , 493.6223
0.9338 , 493.6372
0.9467 , 494.7220
0.9566 , 494.7327
0.9656 , 494.7423
0.9745 , 496.8937
0.9875 , 496.9076
