AC-1,
X,Y
0.0400 , 26.4179
0.1000 , 59.6589
0.1200 , 63.4377
0.1400 , 65.4718
0.1600 , 67.5168
0.1800 , 69.7699
0.2000 , 72.3167
0.2200 , 74.9247
0.2400 , 77.4976
0.2600 , 79.8510
0.2800 , 82.0047
0.3000 , 84.0260
0.3200 , 85.9331
0.3400 , 87.8377
0.3600 , 89.5506
0.3800 , 90.8436
0.4000 , 91.9782
0.4200 , 93.2154
0.4400 , 94.4684
0.4600 , 95.6661
0.4800 , 96.9722
0.5000 , 98.4156
0.5200 , 99.7729
0.5400 , 100.8595
0.5600 , 101.6898
0.5800 , 102.4407
0.6000 , 103.3386
0.6200 , 104.4646
0.6400 , 105.5570
0.6600 , 106.3868
0.6800 , 106.8865
0.7000 , 107.2237
0.7200 , 107.7682
0.7400 , 108.8063
0.7600 , 110.0837
0.7800 , 111.3170
0.8000 , 112.2738
0.8200 , 112.9217
0.8400 , 113.6323
0.8600 , 114.6945
0.8800 , 115.9728
0.9000 , 117.2868
0.9200 , 118.6883
0.9400 , 120.1399
0.9561 , 122.0414
0.9790 , 123.1368
0.0288 , 17.1661
