0.15-0.25mm,
X,Y
0.0099 , 324.2667
0.0278 , 400.0000
0.0457 , 432.0000
0.0556 , 444.8000
0.0765 , 465.0667
0.0963 , 482.1333
0.1063 , 488.5333
0.1152 , 492.8000
0.1341 , 502.4000
0.1549 , 513.0667
0.1728 , 521.6000
0.1907 , 526.9333
0.2453 , 544.0000
0.2929 , 555.7333
0.3565 , 570.6667
0.3952 , 577.0667
0.4528 , 586.6667
0.4985 , 593.0667
0.5521 , 600.5333
0.6058 , 605.8667
0.6405 , 609.0667
0.6941 , 615.4667
0.7378 , 618.6667
0.7666 , 620.8000
0.7925 , 624.0000
0.8133 , 625.0667
0.8352 , 628.2667
0.8540 , 629.3333
0.8729 , 631.4667
0.8858 , 632.5333
0.8977 , 632.5333
0.9116 , 633.6000
0.9196 , 633.6000
0.9285 , 634.6667
0.9335 , 634.6667
0.9414 , 634.6667
0.9513 , 634.6667
0.9633 , 636.8000
0.9702 , 636.8000
0.9791 , 637.8667
0.9881 , 638.9333
