0.50-1.00mm,
X,Y
0.0089 , 13.8667
0.0278 , 57.6000
0.0457 , 75.7333
0.0566 , 84.2667
0.0755 , 96.0000
0.0953 , 104.5333
0.1063 , 108.8000
0.1142 , 112.0000
0.1341 , 117.3333
0.1539 , 122.6667
0.1738 , 128.0000
0.1917 , 133.3333
0.2453 , 141.8667
0.2939 , 149.3333
0.3575 , 156.8000
0.3952 , 162.1333
0.4528 , 166.4000
0.4995 , 170.6667
0.5521 , 173.8667
0.6058 , 177.0667
0.6415 , 180.2667
0.6941 , 183.4667
0.7368 , 185.6000
0.7666 , 187.7333
0.7905 , 188.8000
0.8123 , 190.9333
0.8352 , 192.0000
0.8530 , 192.0000
0.8709 , 192.0000
0.8848 , 193.0667
0.8967 , 195.2000
0.9086 , 195.2000
0.9176 , 195.2000
0.9315 , 196.2667
0.9414 , 197.3333
0.9513 , 197.3333
0.9623 , 197.3333
0.9732 , 197.3333
0.9861 , 198.4000
