AC-4,
X,Y
0.0075 , 382.3373
0.0283 , 448.7585
0.0481 , 477.6954
0.0570 , 489.4855
0.0769 , 506.6419
0.0958 , 521.6554
0.1156 , 531.3153
0.1335 , 539.9020
0.1534 , 548.4909
0.1723 , 554.9368
0.1912 , 562.4537
0.2448 , 577.5045
0.2945 , 587.1963
0.3581 , 599.0448
0.3959 , 606.5819
0.4535 , 611.9984
0.5002 , 619.5451
0.5529 , 624.9563
0.6046 , 632.5083
0.6424 , 634.6906
0.6950 , 639.0308
0.7378 , 642.2894
0.7676 , 645.5342
0.7934 , 648.7748
0.8133 , 648.7960
0.8352 , 649.8904
0.8560 , 652.0547
0.8720 , 653.1427
0.8849 , 653.1565
0.8998 , 654.2434
0.9117 , 654.2562
0.9236 , 655.3399
0.9356 , 655.3527
0.9505 , 655.3687
0.9584 , 656.4481
0.9694 , 657.5308
0.9803 , 658.6134
0.9892 , 658.6230
