NaOH(2.5_1),
X,Y
0.1180 , 44.5709
0.1360 , 48.0417
0.1540 , 51.1140
0.1720 , 54.1234
0.1900 , 56.5649
0.2080 , 58.9949
0.2260 , 61.5337
0.2440 , 63.8484
0.2620 , 65.7069
0.2800 , 67.1767
0.2980 , 68.5646
0.3160 , 70.0310
0.3340 , 71.7584
0.3520 , 73.5262
0.3700 , 75.1861
0.3880 , 76.7316
0.4060 , 78.0309
0.4240 , 79.0602
0.4420 , 79.9879
0.4600 , 80.9426
0.4780 , 81.9489
0.4960 , 82.9404
0.5140 , 83.8897
0.5320 , 84.8784
0.5500 , 85.9336
0.5680 , 86.7578
0.5860 , 87.2439
0.6040 , 87.8707
0.6220 , 88.8885
0.6400 , 90.1175
0.6580 , 91.3656
0.6760 , 92.2870
0.6940 , 92.8268
0.7120 , 93.3886
0.7300 , 94.1685
0.7480 , 94.8141
0.7660 , 95.1401
0.7840 , 95.4921
0.8020 , 96.3072
0.8200 , 97.5851
0.8380 , 99.0456
0.8560 , 100.1848
0.8740 , 100.6347
0.8920 , 100.6473
0.9100 , 100.5188
0.9280 , 100.4507
0.9460 , 100.5521
0.9640 , 100.7823
0.1045 , 39.5221
0.0767 , 30.6755
0.0569 , 23.1871
0.0936 , 36.1197
0.9792 , 101.6149
