AC-2,
X,Y
0.1000 , 422.9597
0.1200 , 441.1530
0.1400 , 457.4471
0.1600 , 472.9260
0.1800 , 485.9969
0.2000 , 497.2295
0.2200 , 507.3209
0.2400 , 516.9882
0.2600 , 525.9198
0.2800 , 533.9030
0.3000 , 541.5552
0.3200 , 548.7708
0.3400 , 555.2877
0.3600 , 561.2834
0.3800 , 566.9761
0.4000 , 572.5681
0.4200 , 578.0855
0.4400 , 583.2674
0.4600 , 588.0880
0.4800 , 592.6845
0.5000 , 596.8954
0.5200 , 600.8586
0.5400 , 604.9350
0.5600 , 608.9486
0.5800 , 612.5509
0.6000 , 615.9820
0.6200 , 619.1699
0.6400 , 622.2743
0.6600 , 625.8234
0.6800 , 629.4262
0.7000 , 632.7209
0.7200 , 636.2021
0.7400 , 639.5129
0.7600 , 642.7376
0.7800 , 645.8297
0.8000 , 648.9861
0.8200 , 652.4758
0.8400 , 656.3121
0.8600 , 660.1907
0.8800 , 663.6229
0.9000 , 666.7266
0.9200 , 669.9990
0.9400 , 673.6363
0.9614 , 674.6574
0.9852 , 673.6120
0.0741 , 395.2600
0.0572 , 362.0425
0.0463 , 341.6828
0.0295 , 287.0463
0.0117 , 168.1518
