AC-8,
X,Y
0.0277 , 86.7767
0.0466 , 134.9896
0.0565 , 151.0645
0.0753 , 178.9294
0.0952 , 201.4406
0.1061 , 210.0199
0.1150 , 217.5261
0.1339 , 232.5397
0.1538 , 245.4123
0.1746 , 258.2861
0.1905 , 267.9417
0.2462 , 291.5622
0.2939 , 306.6065
0.3565 , 327.0216
0.3962 , 337.7737
0.4528 , 349.6148
0.4996 , 360.3744
0.5532 , 368.9994
0.6049 , 376.5514
0.6417 , 383.0165
0.6953 , 390.5706
0.7391 , 397.0432
0.7679 , 400.2869
0.7927 , 404.5973
0.8136 , 405.6906
0.8365 , 408.9279
0.8544 , 411.0890
0.8703 , 413.2479
0.8862 , 415.4069
0.8981 , 415.4196
0.9110 , 417.5754
0.9219 , 418.6580
0.9339 , 419.7418
0.9488 , 420.8287
0.9587 , 424.0522
0.9726 , 424.0671
0.9856 , 426.2228
