KOH(4_1),
X,Y
0.0598 , 150.0607
0.0787 , 179.3779
0.0965 , 199.8282
0.1064 , 209.3705
0.1174 , 218.2299
0.1342 , 232.5418
0.1531 , 245.4880
0.1729 , 257.0691
0.1907 , 266.6054
0.2463 , 289.7557
0.2939 , 307.4549
0.3583 , 326.5057
0.3960 , 336.0269
0.4536 , 348.9437
0.4992 , 359.1411
0.5537 , 367.2853
0.6043 , 376.7967
0.6420 , 382.9073
0.6965 , 389.6873
0.7402 , 395.1112
0.7669 , 399.1837
0.7927 , 401.8927
0.8126 , 403.9240
0.8354 , 407.3174
0.8542 , 408.6674
0.8740 , 411.3808
0.8869 , 412.0532
0.9018 , 414.0883
0.9127 , 416.1264
0.9217 , 416.8018
0.9286 , 416.7965
0.9405 , 418.1518
0.9524 , 419.5070
0.9643 , 420.1801
0.9742 , 421.5368
0.9841 , 422.2114
0.9921 , 423.5697
