0.25-0.50mm,
X,Y
0.0800 , 263.5690
0.1000 , 280.4290
0.1200 , 291.3916
0.1400 , 301.3191
0.1600 , 309.9777
0.1800 , 317.1010
0.2000 , 324.0438
0.2200 , 331.1281
0.2400 , 337.7547
0.2600 , 343.2934
0.2800 , 348.0979
0.3000 , 353.3908
0.3200 , 358.7556
0.3400 , 363.6352
0.3600 , 367.3235
0.3800 , 370.0511
0.4000 , 372.6778
0.4200 , 375.6690
0.4400 , 378.2460
0.4600 , 379.9830
0.4800 , 381.6544
0.5000 , 383.8902
0.5200 , 386.7374
0.5400 , 390.4238
0.5600 , 393.9001
0.5800 , 396.4453
0.6000 , 398.7164
0.6200 , 400.9356
0.6400 , 403.0165
0.6600 , 405.0450
0.6800 , 406.7970
0.7000 , 408.3795
0.7200 , 410.6216
0.7400 , 413.5826
0.7600 , 416.4928
0.7800 , 418.5522
0.8000 , 419.7211
0.8200 , 420.8288
0.8400 , 422.2830
0.8600 , 424.2490
0.8800 , 425.8202
0.9000 , 426.3003
0.9200 , 426.6895
0.9400 , 427.9095
0.9583 , 427.7333
0.9851 , 429.8667
0.0576 , 243.2000
0.0467 , 231.4667
0.0308 , 199.4667
0.0089 , 125.8667
0.0179 , 160.0000
