AC-1,
X,Y
0.0288 , 17.1661
0.0964 , 54.7217
0.1053 , 57.9441
0.1132 , 60.0945
0.1331 , 62.2577
0.1530 , 65.4918
0.1739 , 69.7980
0.1908 , 71.9580
0.2444 , 79.5121
0.2921 , 85.9889
0.3577 , 90.3430
0.3945 , 93.5952
0.4542 , 96.8719
0.5009 , 100.1348
0.5545 , 103.4051
0.6042 , 105.6003
0.6430 , 107.7837
0.6947 , 109.9809
0.7374 , 111.0977
0.7663 , 113.2704
0.7921 , 115.4400
0.8130 , 114.3914
0.8348 , 115.4858
0.8567 , 116.5801
0.8736 , 117.6692
0.8875 , 117.6841
0.9014 , 117.6990
0.9124 , 117.7107
0.9223 , 118.7923
0.9333 , 117.7331
0.9462 , 117.7469
0.9561 , 118.8285
0.9631 , 119.9069
0.9740 , 119.9186
0.9810 , 119.9261
0.9869 , 119.9325
