AC-3,
X,Y
0.0600 , 65.0372
0.0800 , 73.7647
0.1000 , 82.1180
0.1200 , 88.9989
0.1400 , 94.8200
0.1600 , 99.9707
0.1800 , 104.4790
0.2000 , 108.0946
0.2200 , 111.7921
0.2400 , 115.5936
0.2600 , 118.6551
0.2800 , 121.6464
0.3000 , 124.0131
0.3200 , 126.0803
0.3400 , 128.5761
0.3600 , 130.7279
0.3800 , 132.9535
0.4000 , 134.8378
0.4200 , 136.5365
0.4400 , 138.8934
0.4600 , 140.5808
0.4800 , 141.8689
0.5000 , 143.3521
0.5200 , 144.8432
0.5400 , 146.7091
0.5600 , 148.0899
0.5800 , 149.1073
0.6000 , 150.3375
0.6200 , 151.6010
0.6400 , 152.9319
0.6600 , 154.0237
0.6800 , 155.3600
0.7000 , 156.3870
0.7200 , 157.4675
0.7400 , 158.4204
0.7600 , 159.4261
0.7800 , 160.6317
0.8000 , 161.5464
0.8200 , 162.5850
0.8400 , 163.6499
0.8600 , 164.3864
0.8800 , 165.2525
0.9000 , 166.1529
0.9200 , 167.1483
0.9400 , 167.8781
0.9600 , 168.7560
0.9799 , 169.1887
