PAN,
X,Y
0.9970 , 189.7322
0.9719 , 185.7579
0.9562 , 185.1632
0.9406 , 185.1282
0.9137 , 185.6277
0.8859 , 185.0058
0.8703 , 184.4111
0.8434 , 184.9106
0.8139 , 183.7251
0.7844 , 183.6590
0.7705 , 183.6279
0.7436 , 183.5677
0.7123 , 183.4977
0.6863 , 183.9991
0.6715 , 183.4064
0.6455 , 183.3481
0.6142 , 183.2781
0.5864 , 184.3353
0.5708 , 183.1810
0.5448 , 183.6824
0.5153 , 183.0566
0.4858 , 182.9905
0.4719 , 180.7206
0.4458 , 181.7817
0.4137 , 181.1501
0.3877 , 179.9724
0.3712 , 178.8161
0.3547 , 178.7792
0.3382 , 178.1825
0.3174 , 178.1359
0.3017 , 176.4218
0.2853 , 176.3849
0.2679 , 174.6669
0.2497 , 174.0664
0.2349 , 172.9140
0.2193 , 172.8790
0.2037 , 170.0455
0.1854 , 168.8853
0.1663 , 166.0441
0.1499 , 166.0071
0.1299 , 163.1639
0.1082 , 157.5184
0.0900 , 154.6791
0.0752 , 150.7281
0.0605 , 146.2175
0.0466 , 141.1491
0.0327 , 135.5210
0.0189 , 127.6541
0.0033 , 110.2685
