ACM(1-1)600,
X,Y
0.0093 , 171.1854
0.4536 , 290.7440
0.8376 , 311.0436
0.0875 , 240.5849
0.1682 , 261.5306
0.1861 , 264.6475
0.3535 , 283.3221
0.7975 , 309.4611
0.8200 , 310.3439
0.0100 , 183.4769
0.0190 , 193.2943
0.0383 , 218.2856
0.0696 , 234.3429
0.1069 , 247.2725
0.1264 , 252.6209
0.1458 , 257.0764
0.2070 , 267.3167
0.2534 , 273.0994
0.3057 , 279.3258
0.4043 , 287.7634
0.5045 , 293.9683
0.5494 , 296.1802
0.6002 , 299.2823
0.6495 , 301.4921
0.6989 , 304.1485
0.7392 , 305.9160
0.7691 , 308.1346
0.8558 , 313.0063
0.8753 , 314.7832
0.8887 , 315.6700
0.9052 , 317.8947
0.9186 , 319.6744
0.9336 , 322.3462
0.9440 , 325.0201
0.9560 , 328.5861
0.9664 , 332.1528
0.9769 , 335.2731
0.9858 , 338.8405
0.9948 , 343.3007
