ACM(1-1)700,
X,Y
0.0352 , 161.4384
0.2544 , 213.6070
0.3094 , 218.9356
0.5018 , 232.2012
0.7020 , 240.4834
0.0148 , 134.3677
0.0192 , 141.9549
0.0639 , 176.7562
0.1102 , 190.5746
0.0833 , 183.8903
0.1296 , 195.0302
0.1491 , 199.0393
0.1700 , 203.0477
0.1909 , 205.2704
0.2118 , 208.3860
0.3568 , 222.6063
0.4061 , 226.1555
0.4555 , 229.7047
0.5497 , 235.4658
0.6005 , 236.7821
0.6528 , 238.9907
0.7410 , 242.0759
0.7709 , 242.5088
0.8008 , 244.2810
0.8218 , 245.1645
0.8382 , 245.6035
0.8592 , 246.4869
0.9668 , 254.9205
0.9952 , 257.5863
