ACM(1-2)600,
X,Y
0.0402 , 245.5342
0.1879 , 295.2015
0.4073 , 319.8083
0.5981 , 332.6192
0.7357 , 339.9990
0.9291 , 356.7575
0.0100 , 192.8520
0.0129 , 205.3506
0.0159 , 216.5100
0.9946 , 380.8008
0.9811 , 375.0033
0.0710 , 262.4673
0.0874 , 268.7099
0.1083 , 276.2898
0.1292 , 282.5304
0.1471 , 286.9866
0.1695 , 291.4407
0.2069 , 298.1203
0.2547 , 304.3488
0.3070 , 311.0216
0.3534 , 315.0186
0.4550 , 323.4549
0.5058 , 327.0034
0.5507 , 330.5546
0.6523 , 335.8659
0.7017 , 338.5222
0.7690 , 342.5097
0.8003 , 344.7277
0.8198 , 345.6118
0.8392 , 347.3887
0.8616 , 348.7179
0.8766 , 350.0505
0.8930 , 351.8288
0.9095 , 353.6071
0.9379 , 359.8443
0.9513 , 362.9632
0.9647 , 367.4214
0.9737 , 370.9888
