ACM(1-1.5)600,
X,Y
0.0098 , 205.8775
0.0121 , 219.0572
0.0177 , 231.8423
0.2561 , 321.9003
0.0396 , 259.3565
0.0694 , 278.0930
0.0858 , 284.3356
0.1082 , 291.9148
0.1291 , 299.0482
0.1470 , 303.0580
0.1680 , 307.5129
0.1874 , 311.5220
0.2098 , 315.0833
0.4041 , 337.7635
0.4549 , 341.3120
0.5042 , 344.8612
0.5506 , 347.9653
0.6014 , 351.0674
0.6508 , 353.7237
0.7016 , 356.3794
0.7390 , 359.0411
0.7704 , 360.3662
0.8003 , 362.5849
0.8212 , 363.9147
0.8391 , 364.7995
0.8750 , 368.8012
0.8586 , 367.4693
0.8914 , 370.1331
0.9049 , 371.9127
0.9183 , 374.1388
0.9288 , 376.3662
0.9408 , 378.1465
0.9512 , 380.8204
0.9617 , 383.4942
0.9706 , 387.9545
0.9781 , 391.9690
0.9870 , 395.9828
0.9930 , 400.8908
