ACM(1-1)500,
X,Y
0.4545 , 181.5208
0.8398 , 195.8689
0.0417 , 136.5877
0.0701 , 146.8427
0.0880 , 149.9597
0.1089 , 154.4145
0.1268 , 157.9778
0.1492 , 160.6463
0.1702 , 163.7619
0.1911 , 165.5382
0.2075 , 167.7629
0.2554 , 171.3127
0.3092 , 174.8599
0.3555 , 177.5176
0.4064 , 180.1732
0.5050 , 183.7002
0.5529 , 185.9107
0.6037 , 187.2271
0.6516 , 188.5448
0.7024 , 190.7540
0.7413 , 191.6293
0.7712 , 192.9551
0.8026 , 194.2803
0.8205 , 194.7186
0.8609 , 196.4861
0.8774 , 197.3716
0.9058 , 199.5909
0.9222 , 200.9228
0.8908 , 198.7048
0.9939 , 215.1761
0.9835 , 212.0558
0.9715 , 209.8291
0.9596 , 206.7095
0.9461 , 204.0370
0.9342 , 202.2566
