ACM(1-1)800,
X,Y
0.1688 , 142.7804
0.1882 , 144.1109
0.2091 , 144.9943
0.2555 , 147.6520
0.3078 , 149.8605
0.3586 , 152.5162
0.4050 , 154.2810
0.4499 , 155.6000
0.6517 , 160.8662
0.8386 , 167.9247
0.8581 , 168.3624
0.9478 , 174.5719
0.9657 , 177.2424
0.9776 , 182.1478
0.9941 , 187.0511
0.0105 , 100.4410
0.0119 , 105.7975
0.0164 , 112.4919
0.0417 , 125.8734
0.0746 , 133.4478
0.0881 , 135.2275
0.1075 , 137.4509
0.1269 , 140.1207
0.1463 , 142.3440
0.5007 , 157.3628
0.5515 , 158.6792
0.6024 , 159.9955
0.7011 , 162.6296
0.7384 , 163.9520
0.7683 , 165.2778
0.7968 , 166.6043
0.8192 , 167.0406
0.8760 , 168.8007
0.8939 , 170.1319
0.9104 , 171.9102
0.9283 , 172.7950
