BAC-1100,
X,Y
0.0324 , 122.4389
0.0115 , 117.0767
0.0050 , 110.0320
0.0018 , 99.6304
0.0007 , 88.2213
-0.0014 , 78.4905
0.0008 , 66.4092
-0.0013 , 55.6717
-0.0013 , 45.2690
-0.0012 , 34.1951
-0.0001 , 23.1209
-0.0001 , 11.3759
0.0707 , 126.1173
0.0981 , 129.1282
0.1211 , 130.4628
0.1376 , 131.7995
0.1606 , 132.1274
0.1792 , 132.7923
0.2012 , 133.7916
0.2483 , 135.1181
0.2998 , 136.4431
0.3492 , 137.4332
0.4007 , 138.4227
0.4533 , 140.0828
0.5016 , 141.0734
0.5520 , 141.7276
0.6003 , 142.3825
0.6507 , 143.7079
0.7022 , 145.0329
0.7527 , 145.6871
0.7987 , 146.0072
0.8195 , 146.3358
0.8502 , 146.9966
0.8733 , 147.3245
0.9029 , 147.6501
0.9259 , 147.6424
0.9511 , 148.9762
0.9752 , 150.6460
0.9928 , 152.6535
