BAC-700,
X,Y
0.9943 , 48.9617
0.9768 , 46.6186
0.9505 , 45.6207
0.9252 , 44.9580
0.9011 , 44.2950
0.8759 , 43.9679
0.8496 , 42.9700
0.8200 , 42.6444
0.8024 , 42.6503
0.7520 , 41.9960
0.7027 , 41.0059
0.6500 , 40.6880
0.6029 , 39.6971
0.5503 , 39.3792
0.5009 , 38.7246
0.4494 , 37.7352
0.4022 , 37.4154
0.3518 , 37.0968
0.3014 , 36.7781
0.2498 , 36.4599
0.2016 , 36.1405
0.1808 , 35.8119
0.1610 , 35.1474
0.1402 , 35.1544
0.1194 , 34.4902
0.1029 , 34.1602
0.0777 , 33.8331
0.0317 , 23.4458
0.0087 , 18.7555
