BAC-700,
X,Y
0.0600 , 28.7993
0.0800 , 32.4207
0.1000 , 35.0702
0.1200 , 34.9149
0.1400 , 34.9383
0.1600 , 35.4210
0.1800 , 35.7236
0.2000 , 35.8721
0.2200 , 36.0579
0.2400 , 36.2361
0.2600 , 36.3451
0.2800 , 36.4668
0.3000 , 36.6821
0.3200 , 36.9453
0.3400 , 37.1897
0.3600 , 37.3500
0.3800 , 37.3989
0.4000 , 37.3912
0.4200 , 37.4455
0.4400 , 37.6593
0.4600 , 37.9420
0.4800 , 38.2798
0.5000 , 38.6651
0.5200 , 39.0874
0.5400 , 39.6470
0.5600 , 40.2511
0.5800 , 40.7815
0.6000 , 40.7589
0.6200 , 40.4399
0.6400 , 40.1941
0.6600 , 40.3584
0.6800 , 40.8916
0.7000 , 41.4141
0.7200 , 41.8546
0.7400 , 42.1429
0.7600 , 42.3284
0.7800 , 42.5613
0.8000 , 42.8360
0.8200 , 43.1249
0.8400 , 43.4677
0.8600 , 43.9183
0.8800 , 44.4337
0.9000 , 44.9235
0.9200 , 45.4344
0.9400 , 46.0542
0.9600 , 46.7843
0.9800 , 47.9084
0.9954 , 48.6258
0.0306 , 22.4395
0.0098 , 18.4196
