BAC-800,
X,Y
0.0800 , 41.1571
0.1000 , 42.4534
0.1200 , 42.7866
0.1400 , 43.1421
0.1600 , 43.5141
0.1800 , 43.7776
0.2000 , 43.8736
0.2200 , 43.8193
0.2400 , 43.6780
0.2600 , 43.5212
0.2800 , 43.4979
0.3000 , 43.6723
0.3200 , 43.9592
0.3400 , 44.2578
0.3600 , 44.5423
0.3800 , 44.8297
0.4000 , 45.0625
0.4200 , 45.2474
0.4400 , 45.3829
0.4600 , 45.4869
0.4800 , 45.6909
0.5000 , 46.0192
0.5200 , 46.3737
0.5400 , 46.6831
0.5600 , 46.9222
0.5800 , 47.1269
0.6000 , 47.3453
0.6200 , 47.5916
0.6400 , 47.7776
0.6600 , 47.8922
0.6800 , 48.0718
0.7000 , 48.3755
0.7200 , 48.6925
0.7400 , 48.9376
0.7600 , 49.0637
0.7800 , 49.1484
0.8000 , 49.2542
0.8200 , 49.5122
0.8400 , 49.9468
0.8600 , 50.4837
0.8800 , 51.1303
0.9000 , 51.8500
0.9200 , 52.6703
0.9400 , 53.6105
0.9600 , 54.7472
0.9800 , 55.7744
0.0656 , 40.8841
0.0338 , 37.8746
0.0229 , 33.1803
0.0065 , 28.4878
0.9921 , 57.3517
