BAC-600,
X,Y
0.0600 , 23.8345
0.0800 , 25.4236
0.1000 , 26.1931
0.1200 , 26.2653
0.1400 , 26.3500
0.1600 , 26.4989
0.1800 , 26.6431
0.2000 , 26.6924
0.2200 , 26.7026
0.2400 , 26.7402
0.2600 , 26.8502
0.2800 , 27.0287
0.3000 , 27.2270
0.3200 , 27.4281
0.3400 , 27.6112
0.3600 , 27.7391
0.3800 , 27.8165
0.4000 , 27.8529
0.4200 , 27.8860
0.4400 , 27.9364
0.4600 , 28.0427
0.4800 , 28.2934
0.5000 , 28.6073
0.5200 , 28.9515
0.5400 , 29.3259
0.5600 , 29.6198
0.5800 , 29.8136
0.6000 , 29.9422
0.6200 , 29.9629
0.6400 , 30.0430
0.6600 , 30.3271
0.6800 , 30.6603
0.7000 , 30.8931
0.7200 , 31.0661
0.7400 , 31.2437
0.7600 , 31.5171
0.7800 , 31.9336
0.8000 , 32.3713
0.8200 , 32.6690
0.8400 , 32.8246
0.8600 , 33.1248
0.8800 , 33.4943
0.9000 , 33.8095
0.9200 , 34.1973
0.9400 , 34.7842
0.9600 , 35.5361
0.9800 , 36.6602
0.9922 , 37.5530
0.0262 , 23.4477
0.0131 , 16.7406
