BAC-900,
X,Y
0.0009 , 50.9729
-0.0013 , 41.5777
0.0162 , 60.3638
0.0359 , 64.3840
0.0600 , 66.0538
0.0797 , 67.0538
0.0995 , 67.7184
0.1214 , 68.0466
0.1401 , 68.3759
0.1598 , 69.0404
0.1795 , 69.7049
0.1993 , 70.3695
0.2497 , 71.6948
0.3012 , 72.3487
0.3517 , 72.6673
0.3999 , 73.3223
0.4503 , 74.3120
0.5019 , 74.9659
0.5512 , 75.2849
0.6005 , 75.9395
0.6510 , 76.9293
0.7014 , 77.2479
0.7508 , 77.9025
0.8012 , 78.5567
0.8198 , 78.5505
0.8505 , 78.8757
0.8747 , 78.8676
0.9021 , 79.5296
0.9262 , 79.8571
0.9514 , 80.5197
0.9733 , 81.5191
0.9941 , 84.1967
