BAC-600,
X,Y
0.9933 , 37.5527
0.9735 , 35.5459
0.9494 , 34.2117
0.9264 , 33.5483
0.8990 , 32.8863
0.8760 , 32.8940
0.8518 , 32.5666
0.8200 , 31.9061
0.8003 , 31.9127
0.7499 , 31.2585
0.7005 , 30.6039
0.6512 , 30.2849
0.5997 , 29.6311
0.5503 , 29.3121
0.4999 , 28.9934
0.4527 , 28.6737
0.3990 , 28.0205
0.3529 , 27.7004
0.3003 , 27.3825
0.2510 , 27.0635
0.2016 , 26.4089
0.1819 , 26.4155
0.1622 , 26.0866
0.1424 , 25.7576
0.1205 , 25.4294
0.0997 , 25.7720
0.0799 , 25.1075
0.0624 , 24.7778
0.0273 , 23.7829
0.0120 , 17.4122
