BAC-1000,
X,Y
0.0800 , 170.4154
0.1000 , 173.7374
0.1200 , 174.7562
0.1400 , 176.4811
0.1600 , 178.3959
0.1800 , 179.8548
0.2000 , 181.0575
0.0618 , 167.7310
0.0311 , 158.3453
0.0136 , 146.9418
0.0060 , 139.5618
0.0016 , 130.5029
0.0006 , 120.1006
-0.0005 , 111.0405
0.0007 , 100.6374
0.0007 , 91.5770
-0.0004 , 80.5035
0.0008 , 70.1005
-0.0014 , 61.0408
-0.0002 , 50.6377
-0.0002 , 40.2350
-0.0001 , 29.8323
-0.0023 , 19.7659
0.0022 , 9.6973
0.2492 , 183.7755
0.3018 , 186.4424
0.3533 , 189.4453
0.4005 , 191.4429
0.4520 , 194.1101
0.5013 , 196.7782
0.5518 , 199.7814
0.6011 , 202.1138
0.6515 , 205.1170
0.7019 , 207.7847
0.7524 , 210.7879
0.8006 , 213.4562
0.8203 , 214.4563
0.8521 , 216.7947
0.8773 , 218.1285
0.9004 , 219.7986
0.9245 , 222.4751
0.9508 , 224.4797
0.9738 , 227.8277
0.9880 , 231.1786
0.9924 , 234.5328
