BAC-1000,
X,Y
0.0800 , 170.4154
0.1000 , 173.7374
0.1200 , 174.7562
0.1400 , 176.4811
0.1600 , 178.3959
0.1800 , 179.8548
0.2000 , 181.0575
0.2200 , 182.1990
0.2400 , 183.2682
0.2600 , 184.2570
0.2800 , 185.2427
0.3000 , 186.2968
0.3200 , 187.3809
0.3400 , 188.4374
0.3600 , 189.4598
0.3800 , 190.4485
0.4000 , 191.4075
0.4200 , 192.3604
0.4400 , 193.3121
0.4600 , 194.2669
0.4800 , 195.2899
0.5000 , 196.4171
0.5200 , 197.5697
0.5400 , 198.6905
0.5600 , 199.7538
0.5800 , 200.7509
0.6000 , 201.7295
0.6200 , 202.7272
0.6400 , 203.7379
0.6600 , 204.7729
0.6800 , 205.9009
0.7000 , 207.1536
0.7200 , 208.4465
0.7400 , 209.7294
0.7600 , 211.0328
0.7800 , 212.3507
0.8000 , 213.6485
0.8200 , 214.9089
0.8400 , 216.1653
0.8600 , 217.4646
0.8800 , 218.7884
0.9000 , 220.1845
0.9200 , 221.9411
0.9400 , 224.2775
0.9600 , 227.4235
0.9800 , 230.5693
0.0618 , 167.7310
0.0311 , 158.3453
0.0136 , 146.9418
0.0060 , 139.5618
0.0016 , 130.5029
0.0006 , 120.1006
-0.0005 , 111.0405
0.0007 , 100.6374
0.0007 , 91.5770
-0.0004 , 80.5035
0.0008 , 70.1005
-0.0014 , 61.0408
-0.0002 , 50.6377
-0.0002 , 40.2350
-0.0001 , 29.8323
-0.0023 , 19.7659
0.0022 , 9.6973
