BAC-1100,
X,Y
0.0800 , 127.6762
0.1000 , 130.1883
0.1200 , 130.0045
0.1400 , 130.8560
0.1600 , 132.0766
0.1800 , 132.8929
0.2000 , 133.5419
0.2200 , 134.2096
0.2400 , 134.8153
0.2600 , 135.2966
0.2800 , 135.7319
0.3000 , 136.2122
0.3200 , 136.7132
0.3400 , 137.2098
0.3600 , 137.7337
0.3800 , 138.2577
0.4000 , 138.6858
0.4200 , 138.9507
0.4400 , 139.0863
0.4600 , 139.2686
0.4800 , 139.5807
0.5000 , 140.0402
0.5200 , 140.6574
0.5400 , 141.4722
0.5600 , 142.3966
0.5800 , 143.2723
0.6000 , 143.9420
0.6200 , 144.2645
0.6400 , 144.3602
0.6600 , 144.4650
0.6800 , 144.5429
0.7000 , 144.6081
0.7200 , 144.8234
0.7400 , 145.3033
0.7600 , 145.8892
0.7800 , 146.4135
0.8000 , 146.8263
0.8200 , 147.1052
0.8400 , 147.3287
0.8600 , 147.5671
0.8800 , 147.7524
0.9000 , 147.9017
0.9200 , 148.2705
0.9400 , 149.0334
0.9600 , 150.1880
0.0324 , 122.4389
0.0115 , 117.0767
0.0050 , 110.0320
0.0018 , 99.6304
0.0007 , 88.2213
-0.0014 , 78.4905
0.0008 , 66.4092
-0.0013 , 55.6717
-0.0013 , 45.2690
-0.0012 , 34.1951
-0.0001 , 23.1209
-0.0001 , 11.3759
0.9785 , 150.6449
0.9938 , 152.9887
