Sample-A3,
X,Y
0.9881 , 232.1973
0.9759 , 231.3101
0.9615 , 230.8739
0.9471 , 230.4377
0.9332 , 230.2256
0.9199 , 230.0130
0.9066 , 228.9022
0.8894 , 228.6931
0.8678 , 228.2634
0.8368 , 227.8422
0.7974 , 226.5303
0.7336 , 225.0157
0.6405 , 222.1802
0.5468 , 220.0188
0.4531 , 217.4084
0.3578 , 214.1257
0.2585 , 210.1730
0.2081 , 207.9728
0.1698 , 205.3125
0.1465 , 203.9861
0.1216 , 201.7630
0.0794 , 197.0853
0.0600 , 193.5100
0.0484 , 190.1522
0.0373 , 186.1202
0.0273 , 182.5364
0.0189 , 177.1546
0.0106 , 172.4466
0.0056 , 166.8373
0.0023 , 160.3283
0.0006 , 153.8179
-0.0006 , 147.7560
