Sample-A2,
X,Y
0.9864 , 206.1510
0.9631 , 205.9473
0.9431 , 205.5162
0.9237 , 205.3090
0.9065 , 204.8754
0.8910 , 205.1139
0.8744 , 204.9043
0.8572 , 204.9197
0.8417 , 204.9336
0.8239 , 205.1741
0.8029 , 204.5194
0.7796 , 204.3157
0.7591 , 204.5587
0.7225 , 203.9179
0.6704 , 202.8420
0.6011 , 202.0060
0.5218 , 200.9545
0.4226 , 199.6963
0.3089 , 198.4511
0.2441 , 196.7129
0.1942 , 195.6350
0.1648 , 194.3141
0.1321 , 193.2207
0.0855 , 189.2206
0.0672 , 186.7670
0.0445 , 182.2964
0.0323 , 178.7145
0.0217 , 175.3557
0.0134 , 169.5249
0.0078 , 163.9161
0.0028 , 158.5314
