Sample-A1,
X,Y
0.9885 , 177.1820
0.9591 , 177.6575
0.9358 , 177.0048
0.9125 , 176.8011
0.8926 , 177.0436
0.8704 , 176.6144
0.8504 , 176.4078
0.8321 , 176.6488
0.8155 , 175.9901
0.7978 , 175.7814
0.7795 , 175.7979
0.7545 , 175.5957
0.7340 , 175.3896
0.7013 , 175.1944
0.6542 , 174.5631
0.5938 , 173.4946
0.5228 , 173.1092
0.4291 , 171.6215
0.3171 , 170.3748
0.2512 , 168.6377
0.1996 , 168.4594
0.1697 , 166.6899
0.1403 , 165.8181
0.0882 , 163.3948
0.0655 , 161.8434
0.0516 , 160.2840
0.0411 , 158.4971
0.0311 , 155.8114
0.0194 , 152.4536
0.0105 , 148.1951
0.0044 , 142.3623
