Sample-A5,
X,Y
0.9920 , 594.0303
0.9837 , 587.4146
0.9742 , 579.2695
0.9654 , 573.1670
0.9554 , 566.5573
0.9443 , 559.4404
0.9277 , 551.3208
0.9062 , 541.6855
0.8785 , 525.9379
0.8420 , 511.7553
0.7989 , 494.5294
0.7370 , 474.8148
0.6476 , 452.1317
0.5476 , 429.9973
0.4510 , 411.9403
0.3534 , 396.9544
0.2551 , 376.3476
0.2043 , 362.7275
0.1639 , 348.5587
0.1434 , 329.7184
0.1218 , 318.5496
0.0814 , 295.1798
0.0643 , 293.1963
0.0527 , 286.0813
0.0422 , 277.4289
0.0322 , 269.2857
0.0222 , 261.1425
0.0150 , 248.9001
0.0099 , 236.1386
0.0076 , 220.8114
0.0058 , 204.9711
0.0041 , 187.5972
0.0034 , 176.8646
0.0023 , 166.6452
0.0033 , 156.4179
0.0027 , 147.7300
0.0021 , 139.0421
0.0025 , 121.6603
0.0019 , 109.3942
0.0029 , 99.1669
0.0023 , 87.4120
0.0022 , 77.1886
0.0027 , 66.9632
0.0021 , 56.2306
0.0020 , 47.5407
0.0030 , 35.2687
0.0024 , 25.5585
0.0029 , 16.3555
0.0028 , 7.1544
