Sample-A4,
X,Y
0.9464 , 707.7982
0.9303 , 634.7605
0.9132 , 601.9127
0.8927 , 578.9643
0.8613 , 550.8027
0.8146 , 522.0634
0.7594 , 497.3215
0.6871 , 474.6459
0.5966 , 450.7486
0.5118 , 429.4564
0.4441 , 414.6618
0.3809 , 401.1607
0.3109 , 385.7194
0.2648 , 371.4696
0.2141 , 357.9026
0.1908 , 350.7792
0.1635 , 341.7005
0.1088 , 317.6144
0.0860 , 303.9005
0.0712 , 296.0734
0.0604 , 288.2253
0.0496 , 279.0597
0.0382 , 269.8971
0.0290 , 258.0875
0.0227 , 243.6279
0.0176 , 229.8211
0.0119 , 214.6997
0.0096 , 198.2429
0.0044 , 181.8010
0.0032 , 165.3382
0.0021 , 149.5341
0.0009 , 133.0712
0.0008 , 117.9199
0.0008 , 102.7686
0.0008 , 84.9822
0.0002 , 70.4926
0.0007 , 55.3383
0.0007 , 38.8695
0.0001 , 22.4036
0.0006 , 7.2493
