a,
X,Y
0.0600 , 73.8169
0.0800 , 75.5066
0.1000 , 77.1366
0.1200 , 78.7507
0.1400 , 80.0836
0.1600 , 81.1662
0.1800 , 82.0550
0.2000 , 82.8032
0.2200 , 83.5017
0.2400 , 84.2701
0.2600 , 85.2278
0.2800 , 86.2612
0.3000 , 87.1360
0.3200 , 87.6486
0.3400 , 87.8973
0.3600 , 88.0893
0.3800 , 88.4097
0.4000 , 88.8739
0.4200 , 89.4032
0.4400 , 89.9657
0.4600 , 90.5573
0.4800 , 91.2421
0.5000 , 91.9264
0.5200 , 92.6948
0.5400 , 93.5228
0.5600 , 94.4675
0.5800 , 95.3906
0.6000 , 96.0585
0.6200 , 96.3268
0.6400 , 96.3355
0.6600 , 96.3141
0.6800 , 96.4659
0.7000 , 96.8649
0.7200 , 97.5336
0.7400 , 98.5107
0.7600 , 99.6787
0.7800 , 100.8478
0.8000 , 101.8118
0.8200 , 102.6148
0.8400 , 103.3224
0.8600 , 104.0223
0.8800 , 104.7935
0.9000 , 105.7456
0.9200 , 107.3887
0.9400 , 108.8284
0.9529 , 108.5133
0.9809 , 111.1817
0.0454 , 74.7141
0.0252 , 72.0457
0.0068 , 68.4879
