RHBK,
X,Y
0.9787 , 616.3914
0.9488 , 608.3863
0.9034 , 604.8285
0.8543 , 603.9390
0.8003 , 603.0496
0.7000 , 600.3812
0.6016 , 597.7128
0.5032 , 595.9339
0.3991 , 591.4867
0.3518 , 587.0394
0.3007 , 581.7027
0.2428 , 576.3659
0.2014 , 568.3609
0.1782 , 565.6925
0.1444 , 555.9085
0.1213 , 548.7929
0.0933 , 534.5616
0.0817 , 527.4460
0.0721 , 519.4409
0.0605 , 509.6569
0.0479 , 497.2046
0.0450 , 490.9784
0.0412 , 485.6417
0.0344 , 478.5260
0.0315 , 468.7421
0.0276 , 462.5159
0.0209 , 453.6213
0.0170 , 442.9479
0.0141 , 432.2745
0.0112 , 418.9327
0.0083 , 404.7014
0.0063 , 387.8018
0.0044 , 371.7916
0.0024 , 356.6709
0.0024 , 337.9924
0.0024 , 319.3139
0.0033 , 301.5248
0.0004 , 283.7357
0.0004 , 265.0572
0.0003 , 244.5997
-0.0007 , 188.5642
0.0002 , 170.7751
-0.0008 , 151.2071
0.0002 , 131.6391
0.0002 , 114.7395
0.0001 , 94.2821
0.0001 , 75.6036
