b,
X,Y
-0.0005 , 214.2018
0.0002 , 173.2307
-0.0004 , 137.5526
-0.0006 , 105.8381
-0.0003 , 56.3423
0.0012 , 83.3015
-0.0010 , 30.3530
0.0094 , 245.8018
0.0323 , 268.6157
0.0568 , 278.9344
0.0812 , 284.6644
0.1056 , 287.9574
0.1299 , 290.7455
0.1543 , 292.7433
0.1787 , 294.2362
0.2031 , 295.2460
0.2274 , 296.5984
0.2518 , 297.5731
0.2762 , 298.1878
0.3006 , 298.8464
0.3249 , 299.5929
0.3493 , 300.1197
0.3737 , 301.0594
0.3981 , 301.8760
0.4224 , 301.8760
0.4468 , 303.4567
0.4712 , 303.9397
0.4956 , 304.3348
0.5199 , 304.6861
0.5443 , 305.3447
0.5687 , 305.7692
0.5930 , 305.7399
0.6174 , 306.2229
0.6418 , 306.3985
0.6662 , 307.2766
0.6905 , 307.8474
0.7149 , 307.8474
0.7393 , 307.4523
0.7637 , 308.2602
0.7880 , 309.2525
0.8124 , 309.3842
0.8368 , 309.3842
0.8612 , 310.7453
0.8855 , 311.0527
0.9099 , 312.5016
0.9343 , 313.8298
0.9587 , 315.7727
0.9817 , 321.0332
